dilution_id,28504,28505,28506,28507,28508,28509,28510,28511,28512,28513,28514,28515,28516
dilution_name,12,9,1,5,11,2,4,3,8,10,7,6,Blank 
Group,RC-MV,RC-cell,GC-cell,GC-MV,RC-MV,GC-cell,GC-MV,GC-cell,RC-cell,RC-MV,RC-cell,GC-MV,
Treatment,RC,RC,GC,GC,RC,GC,GC,GC,RC,RC,RC,GC,
rno-miR-134-5p,30.56577564,29.856242,30.5688727,31.56505894,31.3577266,31.02834429,32.06052772,30.49930169,29.70645993,29.96006668,29.68553419,31.23384253,37.29089391
rno-miR-135a-5p,36.18141693,37.13817528,ND,37.87684898,ND,ND,ND,37.66957857,35.54981562,36.26033632,36.68128032,37.90371962,ND
rno-miR-136-5p,27.05585611,26.48898202,27.01804635,30.03246691,30.74436599,27.0633776,29.45554464,27.08528231,26.05970409,27.30227445,26.01811199,28.75849244,ND
rno-miR-138-5p,ND,35.56328144,ND,ND,ND,36.15631009,ND,ND,ND,ND,ND,39.01877471,ND
rno-miR-139-3p,ND,ND,ND,36.77258587,ND,37.38725613,ND,ND,ND,ND,ND,ND,ND
rno-miR-139-5p,33.52341384,ND,33.07355498,31.69292128,33.5629742,33.41248851,31.99044318,33.50297037,ND,32.10792381,ND,31.36780182,ND
rno-miR-140-5p,30.14797622,29.13036853,28.65004755,31.28287252,32.04566099,28.89161783,30.44334794,28.4916983,29.27638472,29.85961085,29.00991466,29.51377742,ND
rno-miR-141-3p,ND,ND,36.16421719,ND,ND,37.34947782,ND,35.6778727,36.48732058,ND,37.27424049,ND,ND
rno-miR-142-3p,29.65167079,35.07703475,35.56887645,29.83091009,33.26897128,34.86740188,29.58079859,35.69188019,35.83917286,29.60978227,ND,29.12165506,ND
rno-miR-142-5p,32.62048673,39.5901565,38.12590797,31.94802,34.82343181,ND,32.63835288,ND,37.96277352,32.59377649,ND,32.10083217,ND
rno-miR-143-3p,24.75876745,24.57001109,23.67501483,24.91231479,26.685467,23.95809888,24.9838165,23.78580753,24.55804428,24.55856831,24.70417584,23.8436894,ND
rno-miR-144-3p,32.48930073,36.965125,36.79560897,32.53742199,37.25957723,ND,32.28535958,ND,ND,32.17136804,ND,31.83689318,ND
rno-miR-145-5p,26.05788538,25.56504327,24.74356857,25.9890096,26.4944362,24.7616625,25.95104375,24.73010698,25.27898289,25.1455154,25.2199963,25.024259,ND
